"label","location_id","feature_set_name"
"ROW/ESMTs",72,"san_antonio Zoning"
"RP",72,"san_antonio Zoning"
"R-R",72,"san_antonio Zoning"
"RR",72,"san_antonio Zoning"
"R-TH",72,"san_antonio Zoning"
"SC",72,"san_antonio Zoning"
"SD",72,"san_antonio Zoning"
"SD-1",72,"san_antonio Zoning"
"SD-3",72,"san_antonio Zoning"
"SD-4",72,"san_antonio Zoning"
"SF2",72,"san_antonio Zoning"
"SF4",72,"san_antonio Zoning"
"SF5",72,"san_antonio Zoning"
"SF6",72,"san_antonio Zoning"
"SF-A",72,"san_antonio Zoning"
"SF-B",72,"san_antonio Zoning"
"SFR",72,"san_antonio Zoning"
"S-R",72,"san_antonio Zoning"
"SUP",72,"san_antonio Zoning"
"Tax",72,"san_antonio Zoning"
"TH",72,"san_antonio Zoning"
"TH-A",72,"san_antonio Zoning"
"Town",72,"san_antonio Zoning"
"TR1",72,"san_antonio Zoning"
"Unclassified",72,"san_antonio Zoning"
"Unincorporated",72,"san_antonio Zoning"
"WSD",72,"san_antonio Zoning"
"Z-1",72,"san_antonio Zoning"
"ZH",72,"san_antonio Zoning"
"ZH-A",72,"san_antonio Zoning"
"ZL",72,"san_antonio Zoning"
"2F",83,"Plano Zoning"
"2F/PH",83,"Plano Zoning"
"2F/SF-A/PH",83,"Plano Zoning"
"BG",83,"Plano Zoning"
"CB-1",83,"Plano Zoning"
"CC",83,"Plano Zoning"
"CE",83,"Plano Zoning"
"COM-CEN",83,"Plano Zoning"
"ED",83,"Plano Zoning"
"GR",83,"Plano Zoning"
"LC",83,"Plano Zoning"
"LI-1",83,"Plano Zoning"
"LI-2",83,"Plano Zoning"
"MF-1",83,"Plano Zoning"
"MF-2",83,"Plano Zoning"
"MF-2/PH",83,"Plano Zoning"
"MF-3",83,"Plano Zoning"
"MIXED-USE",83,"Plano Zoning"
"NBD",83,"Plano Zoning"
"O-1",83,"Plano Zoning"
"O-2",83,"Plano Zoning"
"O-2/SF-A",83,"Plano Zoning"
"PH",83,"Plano Zoning"
"R",83,"Plano Zoning"
"RC",83,"Plano Zoning"
"RCD",83,"Plano Zoning"
"RE",83,"Plano Zoning"
"REC-COM",83,"Plano Zoning"
"REC-COM/PUB-FAC",83,"Plano Zoning"
"RES",83,"Plano Zoning"
"R/MF-2",83,"Plano Zoning"
"R/O-1",83,"Plano Zoning"
"R/O-2",83,"Plano Zoning"
"RT",83,"Plano Zoning"
"SF",83,"Plano Zoning"
"SF-20",83,"Plano Zoning"
"SF-6",83,"Plano Zoning"
"SF-6/SF-7",83,"Plano Zoning"
"SF-6/SF-7/PH",83,"Plano Zoning"
"SF-7",83,"Plano Zoning"
"SF-7/2F/PRD-7",83,"Plano Zoning"
"SF-7/PH",83,"Plano Zoning"
"SF-7/PRD-2",83,"Plano Zoning"
"SF-7/PRD-3",83,"Plano Zoning"
"SF-7/PRD-4",83,"Plano Zoning"
"SF-7/SF-9",83,"Plano Zoning"
"SF-9",83,"Plano Zoning"
"SF-9/PH",83,"Plano Zoning"
"SF-A",83,"Plano Zoning"
"SF-A/MF-2",83,"Plano Zoning"
"SF-A/MF-3",83,"Plano Zoning"
"SF-A/PRD-1",83,"Plano Zoning"
"SF-A/PRD-5",83,"Plano Zoning"
"UMU",83,"Plano Zoning"
"UR",83,"Plano Zoning"
" ",88,"zoning"
"OSP-Open Space Reserve",92,"paradise_valley Zoning"
"P/I",102,"Florence Zoning"
"MXPUD",115,"zoning"
"<Null>",115,"zoning"
"NZ",115,"zoning"
"PRFLU",115,"zoning"
"R1",115,"zoning"
"ROW",115,"zoning"
"RPUD",115,"zoning"
"AS-1",117,"zoning"
"CD-3",117,"zoning"
"CU",117,"zoning"
"M-AP-1",117,"zoning"
"M-AP-2",117,"zoning"
"M-AP-3",117,"zoning"
"M-AP-4",117,"zoning"
"PD-A",117,"zoning"
"UC",117,"zoning"
"A",138,"Marana Zoning"
"B",138,"Marana Zoning"
"C",138,"Marana Zoning"
"D",138,"Marana Zoning"
"E",138,"Marana Zoning"
"A-1",144,"zoning"
"A-2",144,"zoning"
"AU",144,"zoning"
"B-1",144,"zoning"
"B-1A",144,"zoning"
"B-2",144,"zoning"
"B-3",144,"zoning"
"G",144,"zoning"
"GP",144,"zoning"
"I-1",144,"zoning"
"I-2",144,"zoning"
"NMU",144,"zoning"
"PUN",144,"zoning"
"R-4",144,"zoning"
"R-CH",144,"zoning"
"RMH",144,"zoning"
"RR/G",144,"zoning"
"R-TH",144,"zoning"
"R-TND",144,"zoning"
"TMU",144,"zoning"
"ESL",151,"Juno Beach Zoning"
"RM-00",151,"Juno Beach Zoning"
"RS-1",151,"Juno Beach Zoning"
"RS-2",151,"Juno Beach Zoning"
"RS-3",151,"Juno Beach Zoning"
"RS-4",151,"Juno Beach Zoning"
"RS-5",151,"Juno Beach Zoning"
"DC",154,"Riviera Beach Zoning"
"DG",154,"Riviera Beach Zoning"
"DI",154,"Riviera Beach Zoning"
"DM",154,"Riviera Beach Zoning"
"DR",154,"Riviera Beach Zoning"
"IHC-PUD",154,"Riviera Beach Zoning"
"IL",154,"Riviera Beach Zoning"
"I-PUD",154,"Riviera Beach Zoning"
"R-PUD",154,"Riviera Beach Zoning"
"SP",154,"Riviera Beach Zoning"
"RMU",168,"zoning"
" ",169,"south_tucson Zoning"
"CB-1(H)",175,"zoning"
"CB-2(H)",175,"zoning"
"CR-2(H)",175,"zoning"
"CR-4(H)",175,"zoning"
"CR-5(GC)",175,"zoning"
"CR-5(H)",175,"zoning"
"GR-1(H)",175,"zoning"
"RH(GC)",175,"zoning"
"RH(H)",175,"zoning"
"SH(H)",175,"zoning"
"SP",175,"zoning"
"TH(H)",175,"zoning"
"CC",183,"zoning"
"EC",183,"zoning"
"GC",183,"zoning"
"NC",183,"zoning"
"O-I",183,"zoning"
"PUD",183,"zoning"
"RE",183,"zoning"
"RH",183,"zoning"
"RL",183,"zoning"
"RM",183,"zoning"
"CC-CZ",184,"zoning"
"CD-CZ",184,"zoning"
"CD-R-CZ",184,"zoning"
"GC-CZ",184,"zoning"
"HI-CZ",184,"zoning"
"LI-CZ",184,"zoning"
"MU-N-CZ",184,"zoning"
"OI-CZ",184,"zoning"
"R18-CZ",184,"zoning"
"R4-CZ",184,"zoning"
"R8-CZ",184,"zoning"
"AG",186,"zoning"
"C24/27",186,"zoning"
"C601",186,"zoning"
"C 601-CZ",186,"zoning"
"CIV",186,"zoning"
"IND",186,"zoning"
"MS",186,"zoning"
"MSP",186,"zoning"
"OM",186,"zoning"
"OMP",186,"zoning"
"PRD",186,"zoning"
"R/MST",186,"zoning"
"R/OMT",186,"zoning"
"SFR",186,"zoning"
"SFR-CZ",186,"zoning"
"TNDO-CZ",186,"zoning"
"CB",189,"zoning"
"CBD",189,"zoning"
"CI",189,"zoning"
"COI",189,"zoning"
"CR",189,"zoning"
"GB",189,"zoning"
"GB-LU",189,"zoning"
"HDR",189,"zoning"
"HDR-LU",189,"zoning"
"HI",189,"zoning"
"LDR",189,"zoning"
"LI",189,"zoning"
"LI-LU",189,"zoning"
"MDR",189,"zoning"
"MI",189,"zoning"
"MI-LU",189,"zoning"
"MX",189,"zoning"
"MX-LU",189,"zoning"
"NB",189,"zoning"
"OI",189,"zoning"
"OI-LU",189,"zoning"
"PD",189,"zoning"
