label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions
PDD,72,san_antonio Zoning,not_found,,
OP,72,san_antonio Zoning,not_found,,
R-1A-4,72,san_antonio Zoning,not_found,,
R-2A,72,san_antonio Zoning,not_found,,
R2,72,san_antonio Zoning,not_found,,
R-2,72,san_antonio Zoning,not_found,,
R-1A-5.5,72,san_antonio Zoning,not_found,,
R-3A,72,san_antonio Zoning,not_found,,
R-3,72,san_antonio Zoning,not_found,,
R-2B,72,san_antonio Zoning,not_found,,
R-20,72,san_antonio Zoning,not_found,,
R-1,72,san_antonio Zoning,not_found,,
R-1A-8,72,san_antonio Zoning,not_found,,
R-1A-6.6,72,san_antonio Zoning,not_found,,
R-2C,72,san_antonio Zoning,not_found,,
R3,72,san_antonio Zoning,not_found,,
R1,72,san_antonio Zoning,not_found,,
RD,72,san_antonio Zoning,not_found,,
RM-4,72,san_antonio Zoning,not_found,,
RA,72,san_antonio Zoning,not_found,,
R-6,72,san_antonio Zoning,not_found,,
R5,72,san_antonio Zoning,not_found,,
R4,72,san_antonio Zoning,not_found,,
RE-1,72,san_antonio Zoning,not_found,,
R-A,72,san_antonio Zoning,not_found,,
R-5,72,san_antonio Zoning,not_found,,
R-4,72,san_antonio Zoning,not_found,,
R-7,72,san_antonio Zoning,not_found,,
R-3H,72,san_antonio Zoning,not_found,,
RE,72,san_antonio Zoning,not_found,,
RM-5,72,san_antonio Zoning,not_found,,
R-3L,72,san_antonio Zoning,not_found,,
R-R,72,san_antonio Zoning,not_found,,
SD-4,72,san_antonio Zoning,not_found,,
SD-1,72,san_antonio Zoning,not_found,,
SD,72,san_antonio Zoning,not_found,,
RR,72,san_antonio Zoning,not_found,,
ROW,72,san_antonio Zoning,not_found,,
SF2,72,san_antonio Zoning,not_found,,
SD-3,72,san_antonio Zoning,not_found,,
R-TH,72,san_antonio Zoning,not_found,,
ROW/ESMTs,72,san_antonio Zoning,not_found,,
SC,72,san_antonio Zoning,not_found,,
RM-6,72,san_antonio Zoning,not_found,,
RP,72,san_antonio Zoning,not_found,,
SF4,72,san_antonio Zoning,not_found,,
R-OT,72,san_antonio Zoning,not_found,,
Unincorporated,72,san_antonio Zoning,not_found,,
Unclassified,72,san_antonio Zoning,not_found,,
TH,72,san_antonio Zoning,not_found,,
SUP,72,san_antonio Zoning,not_found,,
S-R,72,san_antonio Zoning,not_found,,
SF-B,72,san_antonio Zoning,not_found,,
TR1,72,san_antonio Zoning,not_found,,
SFR,72,san_antonio Zoning,not_found,,
SF-A,72,san_antonio Zoning,not_found,,
Town,72,san_antonio Zoning,not_found,,
TH-A,72,san_antonio Zoning,not_found,,
SF5,72,san_antonio Zoning,not_found,,
Tax,72,san_antonio Zoning,not_found,,
WSD,72,san_antonio Zoning,not_found,,
SF6,72,san_antonio Zoning,not_found,,
Z-1,72,san_antonio Zoning,not_found,,
ZH,72,san_antonio Zoning,not_found,,
ZH-A,72,san_antonio Zoning,not_found,,
ZL,72,san_antonio Zoning,not_found,,
CE,83,Plano Zoning,not_found,,
LC,83,Plano Zoning,not_found,,
ED,83,Plano Zoning,resolved,E|D,One-Story Office-Professional District|High-Rise Apartment District
CC,83,Plano Zoning,not_found,,
2F/PH,83,Plano Zoning,not_found,,
COM-CEN,83,Plano Zoning,resolved,SC,Shopping Center District
2F,83,Plano Zoning,resolved,R-2|R2|B,Two Family Residential|Two-Family Residential|Duplex Residential District
CB-1,83,Plano Zoning,resolved,C,Low-Rise Apartment District
BG,83,Plano Zoning,resolved,B|G,Duplex Residential District|General Business District
GR,83,Plano Zoning,not_found,,
2F/SF-A/PH,83,Plano Zoning,resolved,R-2|A|PM-RH,Two Family Residential|Single-Family Residential District|Park Model Recreational Home District
RCD,83,Plano Zoning,not_found,,
LI-2,83,Plano Zoning,not_found,,
