label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions,fix_command
SF-7/2F/PRD-7,83,Plano Zoning,resolved,R-2,Two Family Residential,"copy_zone(83, [33881], ""SF-7/2F/PRD-7"", ""Two Family Residential"", None)"
REC-COM,83,Plano Zoning,resolved,RV|C-3,Recreational Vehicle|Commercial,"copy_zone(83, [33875, 33894], ""REC-COM"", ""Recreational Vehicle"", None)"
RES,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-2|TR|R2|RS-40|RS-30|TC-R|PD-R|A|B|RR|R-1|R-3|R-4|R-5,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Two Family Residential|Transitional Residential|Two-Family Residential|Residential Single-Family District|Residential Single-Family District|Town Core-Residential District|Planned Unit Development, Residential|Single-Family Residential District|Duplex Residential District|Rural Residential District|Single Family Residential|Multi-Family Residential|High Density Residential|Mixed Residential","copy_zone(83, [33863, 33866, 33869, 33881, 33884, 33923, 33935, 33938, 33941, 33964, 33980, 33983, 33991, 33992, 33993, 33994, 33995], ""RES"", ""Single-Family Residential"", None)"
REC-COM/PUB-FAC,83,Plano Zoning,resolved,PM-RH|C-2|C-3|PI,Park Model Recreational Home District|General Commercial|Commercial|Public and Institutional District,"copy_zone(83, [33878, 33890, 33894, 33962], ""REC-COM/PUB-FAC"", ""Park Model Recreational Home District"", None)"
 ,88,zoning,not_found_zone,,,"insert_zone(88, "" "", "" "")"
UMU,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""UMU"", ""UMU"")"
UR,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""UR"", ""UR"")"
SF-7/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-7/PH"", ""SF-7/PH"")"
SF-9,83,Plano Zoning,resolved,R1-9,Single-Family Residential,"copy_zone(83, [33866], ""SF-9"", ""Single-Family Residential"", None)"
OSP-Open Space Reserve,92,paradise_valley Zoning,resolved,OSP,Open Space Preserve District,"copy_zone(92, [2676], ""OSP-Open Space Reserve"", ""Open Space Preserve District"", None)"
SF-7/SF-9,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-7/SF-9"", ""SF-7/SF-9"")"
SF-9/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-9/PH"", ""SF-9/PH"")"
SF-7/PRD-4,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-7/PRD-4"", ""SF-7/PRD-4"")"
SF-7/PRD-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-7/PRD-2"", ""SF-7/PRD-2"")"
SF-A/PRD-5,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-A/PRD-5"", ""SF-A/PRD-5"")"
SF-A/MF-3,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-A/MF-3"", ""SF-A/MF-3"")"
SF-A,83,Plano Zoning,resolved,A,Single-Family Residential District,"copy_zone(83, [33980], ""SF-A"", ""Single-Family Residential District"", None)"
SF-A/PRD-1,83,Plano Zoning,resolved,A|PD-R,"Single-Family Residential District|Planned Unit Development, Residential","copy_zone(83, [33980, 33964], ""SF-A/PRD-1"", ""Single-Family Residential District"", None)"
SF-A/MF-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-A/MF-2"", ""SF-A/MF-2"")"
SF-7/PRD-3,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-1|RS-40|RS-30|A|AA|PD-R|PD-M,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Single Family Residential|Residential Single-Family District|Residential Single-Family District|Single-Family Residential District|Single-Family District|Planned Unit Development, Residential|Planned Unit Development, Mixed","copy_zone(83, [33863, 33866, 33869, 33992, 33935, 33938, 33980, 33981, 33964, 33967], ""SF-7/PRD-3"", ""Single-Family Residential"", None)"
M-AP-2,117,zoning,resolved,M-AP,Airport Compatibility,"copy_zone(117, [8135], ""M-AP-2"", ""Airport Compatibility"", None)"
M-AP-1,117,zoning,resolved,M-AP,Airport Compatibility,"copy_zone(117, [8135], ""M-AP-1"", ""Airport Compatibility"", None)"
M-AP-4,117,zoning,resolved,M-AP,Airport Compatibility,"copy_zone(117, [8135], ""M-AP-4"", ""Airport Compatibility"", None)"
M-AP-3,117,zoning,resolved,M-AP,Airport Compatibility,"copy_zone(117, [8135], ""M-AP-3"", ""Airport Compatibility"", None)"
<Null>,115,zoning,not_found_zone,,,"insert_zone(115, ""<Null>"", ""<Null>"")"
AS-1,117,zoning,not_found_zone,,,"insert_zone(117, ""AS-1"", ""AS-1"")"
CD-3,117,zoning,resolved,CD,Channel District,"copy_zone(117, [8209], ""CD-3"", ""Channel District"", None)"
ROW,115,zoning,resolved,R,Retail District,"copy_zone(115, [7809], ""ROW"", ""Retail District"", None)"
PD-A,117,zoning,resolved,PD,Planned Development,"copy_zone(117, [7935], ""PD-A"", ""Planned Development"", None)"
MXPUD,115,zoning,resolved,PUD,Planned Unit Development,"copy_zone(115, [8171], ""MXPUD"", ""Planned Unit Development"", None)"
P/I,102,Florence Zoning,resolved,PI,Public/Institutional,"copy_zone(102, [3019], ""P/I"", ""Public/Institutional"", None)"
NZ,115,zoning,not_found_zone,,,"insert_zone(115, ""NZ"", ""NZ"")"
PRFLU,115,zoning,not_found_zone,,,"insert_zone(115, ""PRFLU"", ""PRFLU"")"
RPUD,115,zoning,resolved,R|PUD,Retail District|Planned Unit Development,"copy_zone(115, [7809, 8171], ""RPUD"", ""Retail District"", None)"
CU,117,zoning,not_found_zone,,,"insert_zone(117, ""CU"", ""CU"")"
R1,115,zoning,resolved,R,Retail District,"copy_zone(115, [7809], ""R1"", ""Retail District"", None)"
B-1A,144,zoning,not_found_zone,,,"insert_zone(144, ""B-1A"", ""B-1A"")"
A-2,144,zoning,resolved,A,Agricultural,"copy_zone(144, [9143], ""A-2"", ""Agricultural"", None)"
B-3,144,zoning,not_found_zone,,,"insert_zone(144, ""B-3"", ""B-3"")"
I-1,144,zoning,not_found_zone,,,"insert_zone(144, ""I-1"", ""I-1"")"
B-1,144,zoning,not_found_zone,,,"insert_zone(144, ""B-1"", ""B-1"")"
UC,117,zoning,resolved,U,Urban District,"copy_zone(117, [7967], ""UC"", ""Urban District"", None)"
B-2,144,zoning,not_found_zone,,,"insert_zone(144, ""B-2"", ""B-2"")"
A-1,144,zoning,resolved,A,Agricultural,"copy_zone(144, [9143], ""A-1"", ""Agricultural"", None)"
AU,144,zoning,resolved,A,Agricultural,"copy_zone(144, [9143], ""AU"", ""Agricultural"", None)"
E,138,Marana Zoning,not_found_zone,,,"insert_zone(138, ""E"", ""E"")"
GP,144,zoning,not_found_zone,,,"insert_zone(144, ""GP"", ""GP"")"
A,138,Marana Zoning,resolved,AG,Agricultural,"copy_zone(138, [3194], ""A"", ""Agricultural"", None)"
B,138,Marana Zoning,resolved,BU,Blended-use,"copy_zone(138, [3216], ""B"", ""Blended-use"", None)"
G,144,zoning,resolved,GC,General Commercial District,"copy_zone(144, [9239], ""G"", ""General Commercial District"", None)"
D,138,Marana Zoning,resolved,DT|DN|DO|DR,Downtown|Downtown neighborhood|Downtown overlay|Design Review Overlay District,"copy_zone(138, [3214, 3215, 3228, 3229], ""D"", ""Downtown"", None)"
C,138,Marana Zoning,resolved,Zone C,large lot zone,"copy_zone(138, [3220], ""C"", ""large lot zone"", None)"
R-4,144,zoning,not_found_zone,,,"insert_zone(144, ""R-4"", ""R-4"")"
NMU,144,zoning,not_found_zone,,,"insert_zone(144, ""NMU"", ""NMU"")"
RR/G,144,zoning,not_found_zone,,,"insert_zone(144, ""RR/G"", ""RR/G"")"
R-CH,144,zoning,not_found_zone,,,"insert_zone(144, ""R-CH"", ""R-CH"")"
I-2,144,zoning,not_found_zone,,,"insert_zone(144, ""I-2"", ""I-2"")"
TMU,144,zoning,not_found_zone,,,"insert_zone(144, ""TMU"", ""TMU"")"
RS-3,151,Juno Beach Zoning,resolved,RS,Residential Single-Family,"copy_zone(151, [14740], ""RS-3"", ""Residential Single-Family"", None)"
RMH,144,zoning,not_found_zone,,,"insert_zone(144, ""RMH"", ""RMH"")"
R-TND,144,zoning,resolved,TND,Traditional Neighborhood Development Overlay District,"copy_zone(144, [9091], ""R-TND"", ""Traditional Neighborhood Development Overlay District"", None)"
PUN,144,zoning,resolved,P,Public District,"copy_zone(144, [9131], ""PUN"", ""Public District"", None)"
ESL,151,Juno Beach Zoning,resolved,E,One-Story Office-Professional District,"copy_zone(151, [14169], ""ESL"", ""One-Story Office-Professional District"", None)"
RM-00,151,Juno Beach Zoning,resolved,RM-OO,Residential Multiple-Family—Moderate Density—Open Space Option,"copy_zone(151, [14790], ""RM-00"", ""Residential Multiple-Family—Moderate Density—Open Space Option"", None)"
R-TH,144,zoning,resolved,TH,Townhome District,"copy_zone(144, [9218], ""R-TH"", ""Townhome District"", None)"
RS-2,151,Juno Beach Zoning,resolved,RS,Residential Single-Family,"copy_zone(151, [14740], ""RS-2"", ""Residential Single-Family"", None)"
RS-4,151,Juno Beach Zoning,resolved,RS,Residential Single-Family,"copy_zone(151, [14740], ""RS-4"", ""Residential Single-Family"", None)"
RS-1,151,Juno Beach Zoning,resolved,RS,Residential Single-Family,"copy_zone(151, [14740], ""RS-1"", ""Residential Single-Family"", None)"
 ,169,south_tucson Zoning,not_found_zone,,,"insert_zone(169, "" "", "" "")"
SP,154,Riviera Beach Zoning,not_found_zone,,,"insert_zone(154, ""SP"", ""SP"")"
CR-2(H),175,zoning,resolved,CR-2,Single residence zone,"copy_zone(175, [3799], ""CR-2(H)"", ""Single residence zone"", None)"
DM,154,Riviera Beach Zoning,not_found_zone,,,"insert_zone(154, ""DM"", ""DM"")"
CB-2(H),175,zoning,resolved,CB-2,General business zone,"copy_zone(175, [3809], ""CB-2(H)"", ""General business zone"", None)"
RMU,168,zoning,resolved,RMU-PAD,Regional Mixed-Use Planned Area Development,"copy_zone(168, [3294], ""RMU"", ""Regional Mixed-Use Planned Area Development"", None)"
DG,154,Riviera Beach Zoning,not_found_zone,,,"insert_zone(154, ""DG"", ""DG"")"
CB-1(H),175,zoning,resolved,CB-1,Local business zone,"copy_zone(175, [3808], ""CB-1(H)"", ""Local business zone"", None)"
I-PUD,154,Riviera Beach Zoning,resolved,I|PUD,Industrial|Planned Unit Development District,"copy_zone(154, [16602, 16704], ""I-PUD"", ""Industrial"", None)"
IHC-PUD,154,Riviera Beach Zoning,resolved,IH|PUD,Industrial-Heavy|Planned Unit Development District,"copy_zone(154, [16913, 16704], ""IHC-PUD"", ""Industrial-Heavy"", None)"
DC,154,Riviera Beach Zoning,resolved,DC-1,Downtown Core 1,"copy_zone(154, [17071], ""DC"", ""Downtown Core 1"", None)"
DR,154,Riviera Beach Zoning,resolved,D,High-Rise Apartment District,"copy_zone(154, [16517], ""DR"", ""High-Rise Apartment District"", None)"
R-PUD,154,Riviera Beach Zoning,resolved,PD-R,"Planned Unit Development, Residential","copy_zone(154, [16468], ""R-PUD"", ""Planned Unit Development, Residential"", None)"
RS-5,151,Juno Beach Zoning,resolved,RS,Residential Single-Family,"copy_zone(151, [14740], ""RS-5"", ""Residential Single-Family"", None)"
IL,154,Riviera Beach Zoning,resolved,I,Industrial,"copy_zone(154, [16602], ""IL"", ""Industrial"", None)"
DI,154,Riviera Beach Zoning,resolved,D,High-Rise Apartment District,"copy_zone(154, [16517], ""DI"", ""High-Rise Apartment District"", None)"
